Name,Product Code ,Description,Product Family
Granta Sedan,GS-2001,"Contemporary, technologically sophisticated, fast-paced, and stylish – just what a car should be.",Granta Family
Granta Liftback,GL-3003,A dynamic style and streamlined shape are the trademark of a vehicle with a sporty personality. The Granta liftback is also stunningly spacious.,Granta Family
Granta Station Wagon,GSW-2222,"As inferred by the term station wagon, the LADA Granta features an inherent breadth of character, as well as versatility and a focus on practicality.",Granta Family
Granta Cross,GC-1100,Compact crossover. Roomy station wagon. Stylish city dweller. All this is LADA Granta Cross.,Granta Family
Vesta Sedan,VS3321,"Spacious and well-equipped, elegant and practical – the Vesta is extraordinary in every way.",Vesta Family
Vesta Cross,VC1222,The Vesta Cross embodies love for the sedan and the ultra-popular crossover.,Vesta Family
Vesta SW,VSW1001,"A chic, spacious, comfortable station wagon. A contemporary combination of elegance and practicality.",Vesta Family
Vesta SW Cross,VSWC200,"One of a kind. The LADA Vesta SW Cross combines a bold design, the versatility of a crossover, and a practical body.",Vesta Family
XRAY,X-5000,"Quick off the mark, energetic, and optimistic. A compact crossover, ideal for city life.",XRAY Family
XRAY CROSS,XC-3000,"The crossover – new discoveries, vivid emotions, and a comfortable, reliable vehicle for everyday life.",XRAY Family
Niva Legend 3 doors,NL3-450,The LADA Niva Legend has a distinctive style and is renowned for its cross-country ability.,Niva Legend Family
Niva Legend 5 doors,NL5-501,Difficult road conditions. The tightness of city blocks. This is the habitat of LADA Niva Legend,Niva Legend Family
Niva Travel,NT-220,LADA Niva Travel is the power of an all-wheel drive and constant readiness for adventure. Adventure in comfort.,Niva Travel Family
Largus Station Wagon,LSW400,"An explorer, a business partner, and a family member – the LADA Largus is comfortable, vibrant, and functional.",Largus Family
Largus Cross,LC111,"The top-of-the-range model from the Largus family: providing comfort, excellent cross-country ability, and a vivid Cross-design.",Largus Family
Largus Van,LV900,"The LADA Largus Van combines versatility with a contemporary, expressive design. One of its tasks is to create a positive image and showcase the status of a company and entrepreneur. Its calibrated proportions, sleek lines, and trademark LADA design show that it is not just a utilitarian transporter, which is confirmed by its modern amenities.",Largus Family
